"","Mu.iE","Mu.iV","Mu.mE","Mu.mV","beta.iE.age","beta.iE.calf","beta.iE.regime2","beta.iE.rest","beta.iV.age","beta.iV.calf","beta.iV.regime2","beta.iV.rest","beta.mE.age","beta.mE.calf","beta.mE.rest","beta.mV.age","beta.mV.calf","beta.mV.rest","beta.p.sex","dinj","mu.p","necro","psiE","psi_sex","r0.1.","r0.2.","sigma.iE.t","sigma.iV.t","sigma.p.ind","sigma.p.t","sigma.r.t","z.1.","z.2.","z.3.","z.4.","z.5.","z.6.","z.7.","z.8.","z.9.","z.10.","z.11.","z.12."
"1",0.0380896826888803,0.0064151754990911,1.26043141929433,2.26539222644926,0,1.20287999139073,0.699927182529039,0,0,0,0.084281965157888,0,0,0,-0.361643988767321,0,5.39084408366654,0,-0.288218686226563,0.934056572561751,1.36019127606387,0.67057491520708,0.0473438528094158,0.457853130567586,0.0859748249201378,0.562002606274528,0.0412996191129867,0.372751990587919,1.18362502087855,0.850600781211643,0.0547536456388522,1,0,0,0,0,0,0,1,0,1,0,0
"2",0.0392557035732117,0.00379153322834292,1.1224330836483,2.13306938261202,0,1.15218132283996,0.463185707423578,0,0,0,0.30107771907629,1.89863402892309,0,0,0,0,0,0,-0.27814810763504,0.934056572561751,1.36000628961671,0.67057491520708,0.213974079438988,0.44481807270812,0.111239082832198,0.573827536791508,0.0450145326602306,0.30510487624514,1.14286055082765,0.84166715492729,0.049662023826765,1,0,0,0,1,0,0,0,0,0,0,0
"3",0.0249586130113171,0.0196472861730446,0.79037552445499,2.81440833299239,0,0.896113125477054,0.731403112742312,1.1447321871941,0,0,0.174213289972262,0,0,-0.463640079079386,0,0,0,0,-0.266032098057099,0.941982821400143,1.30719695920605,0.648451531433811,0.101279477998241,0.41443390280799,0.193634193797072,0.195948109694026,0.0723568107380014,0.254286358544008,1.09066759003272,0.783853178398827,0.0633521604237484,1,1,0,0,0,0,1,0,0,0,0,0
"4",0.0196387026382979,0.0207140721011593,0.659904752306815,3.49312801145819,0,1.33323874403685,0.657738726071124,0.801411885228418,0,0,0.317972138207261,0.44032110910534,0,0,0,0,0,0,-0.296965495265352,0.8967517316676,1.25317728567398,0.665807304671713,0.136564532729425,0.453868779492482,0.170200075329979,0.182738744052357,0.0759797803825382,0.374019543044508,1.14235256433915,0.744797234132171,0.0676605141349152,1,1,0,0,1,0,0,0,0,0,0,0
"5",0.0248401563553681,0.0218810838165107,0.699651479627527,3.14705017838264,0,1.34868428465175,0.519103409225139,0,0,0,0.381733324788518,0.357058061376257,0,0,-0.139227943618398,0,0,0,-0.283288178802207,0.948659737627922,1.23375741938548,0.693954151109028,0.145518830556762,0.444423778635154,0.195487289628889,0.183327473599494,0.0757163849400025,0.302844157712497,1.1003389997255,0.664581965630992,0.0868641932342582,1,0,0,0,1,0,0,1,0,0,0,0
"6",0.0249705502294929,0.0194262823000135,0.639772764676621,3.22797701444293,0,1.21265679807394,0.436111048676605,0.550304970619115,0,-4.93392800203324,0.303940214130943,-0.0478146627525139,0,0,0.494433881142949,0.258910754657673,0,0,-0.216375330031394,0.956483320435365,1.3521230051863,0.727485938388924,0.073330206584287,0.433930938599344,0.160824895025425,0.212501530140252,0.138957386398603,0.243853101689634,1.15451118613885,0.748691255951515,0.0789310265433604,1,1,0,1,1,0,0,1,0,0,0,1
"7",0.0227997298705949,0.020865282552921,0.702762057336149,2.50492571554821,0,1.59973094356821,0.664233642318747,0,-0.0888323838309172,0,0.340253285056207,0,0,0.731630004815282,0,0,0,0,-0.193529437339481,0.934850314002543,1.36891479178885,0.720950824047717,0.113802290566354,0.483623965432988,0.191624607204399,0.233987332548538,0.139692300384805,0.241055818941305,1.25450455817231,0.883363979957885,0.0813938581312392,1,0,0,0,0,1,1,0,0,0,0,0
"8",0.0345680907260436,0.00688887530050661,0.849866907707191,2.70403051784617,0,1.47383501733375,0.478442270230395,0,-0.248466034970111,-2.90448831356407,0.0232574954378993,0,0,0,0,0,5.46935004666424,0,-0.202488334931309,0.959805171508104,1.3974279434553,0.7243375940265,0.036471287505041,0.453786659058926,0.0825480124908286,0.428724908075644,0.203166274659975,0.188575160669817,1.30266903120035,0.738607191581747,0.108158673547545,1,0,0,1,0,1,0,0,0,1,0,0
"9",0.0361284346197584,0.00748318764547783,1.06595861386834,3.46388111399014,0,1.20118129268037,0.576231752288196,0,-0.338155027226176,-6.14749123814691,0.0414728617958582,1.40122057562497,0,0,0,0.45986940156118,0,2.44437483129834,-0.110935464523416,0.92961711516038,1.45111262110041,0.558505774741039,0.0224749535440689,0.428182439166609,0.136005416629883,0.384209124950692,0.183883474671177,0.175180066619345,1.20408230614326,0.724879014435005,0.125726515580738,1,0,0,1,1,1,0,0,0,0,1,1
"10",0.0311703194566091,0.00598731546790714,1.14062292591224,1.86870956643097,0,1.35086287539079,0.559581687445749,0,-0.384659169914438,0,0.418404056065454,0,0,0,0,0,2.13548956759811,2.20462457959709,-0.138090906788385,0.940786722250601,1.38780781618641,0.717411751419563,0.0208884896245514,0.472516754021145,0.109630752521191,0.468983004902434,0.189727912990151,0.165988046456896,1.23854059489551,0.788051626779277,0.114274249571905,1,0,0,0,0,1,0,0,0,1,1,0
